program_id,title,status,type,target,capacity,start_date,end_date
90,Own the Room,completed,internal,public,30,8/24/2026,8/26/2026
87,Hard Talks,completed,internal,public,25,8/10/2026,8/12/2026
91,inside out,completed,internal,public,12,8/3/2026,8/4/2026
89,Customer XP Cycle-CCE ONLY,completed,internal,public,20,7/28/2026,7/29/2026
88,Slide Design,completed,internal,public,10,7/13/2026,7/14/2026
84,The Influence Map (Projects),completed,internal,public,30,7/6/2026,7/7/2026
81,Hard Talks,completed,internal,public,27,6/23/2026,6/25/2026
85,AI for real estate (Projects-D&I),completed,external,public,30,6/17/2026,7/15/2026
82,Island of Seacrets-(Finance Dept),completed,internal,public,20,6/15/2026,6/15/2026
83,Excel 101,completed,internal,public,12,6/14/2026,7/5/2026
80,Story Craft,completed,internal,public,25,6/3/2026,6/4/2026
79,Ai 4 Marq - AI Foundations - Wave 2,completed,internal,public,25,5/24/2026,5/24/2026
73,The Connected Leader,completed,internal,public,35,5/19/2026,5/20/2026
74,The Influence Map (Projects and D&I),completed,internal,department,30,5/17/2026,5/18/2026
78,From Individual Actions To Company Impact,completed,internal,department,25,5/14/2026,5/14/2026
77,From Individual Actions To Company Impact,completed,internal,department,25,5/14/2026,5/14/2026
76,From Individual Actions To Company Impact,completed,internal,department,25,5/13/2026,5/13/2026
71,Ai 4 Marq - Level 1,completed,internal,public,26,5/12/2026,5/12/2026
75,From Individual Actions To Company Impact,completed,internal,department,25,5/12/2026,5/12/2026
72,The Influence Map,completed,internal,public,30,5/11/2026,5/13/2026
70,Test 2,completed,internal,public,13,4/27/2026,4/27/2026
66,Master The Shift,completed,internal,public,25,4/21/2026,4/22/2026
68,LinkedIn Learning Kick-Off Session,completed,internal,public,100,4/9/2026,4/9/2026
67,Growth Mindset,completed,internal,public,20,4/8/2026,4/8/2026
65,Parenting 101,completed,internal,public,20,3/31/2026,3/31/2026
64,Think Human,completed,internal,public,20,3/16/2026,3/17/2026
63,Self Discovery Lab,completed,internal,public,20,2/23/2026,2/24/2026
61,Growth Mindset,completed,internal,public,25,1/28/2026,1/28/2026
59,Growth Mindset - Business Relations,completed,internal,public,30,12/21/2025,12/21/2025
58,Own The Game,completed,internal,public,30,12/16/2025,12/17/2025
55,The Human Link,completed,internal,public,40,12/14/2025,12/14/2025
57,The Human Link- (CCE Team Only),completed,internal,public,30,12/11/2025,12/11/2025
56,The Connected Leader,completed,internal,public,35,12/7/2025,12/11/2025
54,Learning Path Reflection - Ahmed Sobhy,completed,internal,public,20,11/27/2025,11/27/2025
45,Less Noise More Done,completed,internal,public,30,11/25/2025,11/27/2025
50,Inside Out - OCEAN,completed,internal,public,30,11/16/2025,11/18/2025
44,Growth Mindset,completed,internal,public,35,11/10/2025,11/10/2025
49,TBC - The Gifts of Imperfection (Nov),completed,internal,public,27,11/6/2025,12/4/2025
48,MS Excel Workshop - Finance Department - 3:00,completed,external,public,23,11/2/2025,11/9/2025
47,MS Excel Workshop - Finance Department - 9:30,completed,external,public,25,11/2/2025,11/9/2025
42,The Human Link,completed,internal,public,50,10/29/2025,10/29/2025
40,Less Noise More Done,completed,internal,public,25,10/20/2025,10/22/2025
43,MS Excel Workshop - Round 3,completed,internal,public,22,10/13/2025,10/16/2025
41,Own The Room,completed,internal,public,30,10/6/2025,10/7/2025
35,The Connected Leader,completed,internal,public,30,9/29/2025,10/2/2025
34,Less Noise More Done,completed,internal,public,20,9/22/2025,9/24/2025
39,Intro to the L&D,completed,internal,public,20,9/17/2025,9/17/2025
33,Growth Mindset,completed,internal,public,25,9/15/2025,9/15/2025
32,inside out,completed,internal,department,30,9/9/2025,9/11/2025
29,2025 Egyptian Labor Law,completed,external,department,15,9/7/2025,9/9/2025
28,Round 2 - MS Excel Workshop,completed,external,public,25,9/1/2025,9/8/2025
27,Round 1 - MS Excel Workshop,completed,external,public,24,8/19/2025,8/21/2025
26,Growth Mindset,completed,internal,public,25,8/13/2025,8/13/2025
25,Think Like HR,completed,internal,public,25,8/12/2025,8/12/2025
2,Master The Shift,completed,internal,public,25,7/29/2025,7/30/2025
