program_id,title,status,type,target,capacity,start_date,end_date
90,Own the Room,completed,internal,public,30,2026-08-24,2026-08-26
87,Hard Talks,completed,internal,public,25,2026-08-10,2026-08-12
91,inside out,completed,internal,public,12,2026-08-03,2026-08-04
89,Customer XP Cycle-CCE ONLY,completed,internal,public,20,2026-07-28,2026-07-29
88,Slide Design,completed,internal,public,10,2026-07-13,2026-07-14
84,The Influence Map (Projects),completed,internal,public,30,2026-07-06,2026-07-07
81,Hard Talks,completed,internal,public,27,2026-06-23,2026-06-25
85,AI for real estate (Projects-D&I),completed,external,public,30,2026-06-17,2026-07-15
82,Island of Seacrets-(Finance Dept),completed,internal,public,20,2026-06-15,2026-06-15
83,Excel 101,completed,internal,public,12,2026-06-14,2026-07-05
80,Story Craft,completed,internal,public,25,2026-06-03,2026-06-04
79,Ai 4 Marq - AI Foundations - Wave 2,completed,internal,public,25,2026-05-24,2026-05-24
73,The Connected Leader,completed,internal,public,35,2026-05-19,2026-05-20
74,The Influence Map (Projects and D&I),completed,internal,department,30,2026-05-17,2026-05-18
78,From Individual Actions To Company Impact,completed,internal,department,25,2026-05-14,2026-05-14
77,From Individual Actions To Company Impact,completed,internal,department,25,2026-05-14,2026-05-14
76,From Individual Actions To Company Impact,completed,internal,department,25,2026-05-13,2026-05-13
71,Ai 4 Marq - Level 1,completed,internal,public,26,2026-05-12,2026-05-12
75,From Individual Actions To Company Impact,completed,internal,department,25,2026-05-12,2026-05-12
72,The Influence Map,completed,internal,public,30,2026-05-11,2026-05-13
70,Test 2,completed,internal,public,13,2026-04-27,2026-04-27
66,Master The Shift,completed,internal,public,25,2026-04-21,2026-04-22
68,LinkedIn Learning Kick-Off Session,completed,internal,public,100,2026-04-09,2026-04-09
67,Growth Mindset,completed,internal,public,20,2026-04-08,2026-04-08
65,Parenting 101,completed,internal,public,20,2026-03-31,2026-03-31
64,Think Human,completed,internal,public,20,2026-03-16,2026-03-17
63,Self Discovery Lab,completed,internal,public,20,2026-02-23,2026-02-24
61,Growth Mindset,completed,internal,public,25,2026-01-28,2026-01-28
59,Growth Mindset - Business Relations,completed,internal,public,30,2025-12-21,2025-12-21
58,Own The Game,completed,internal,public,30,2025-12-16,2025-12-17
55,The Human Link,completed,internal,public,40,2025-12-14,2025-12-14
57,The Human Link- (CCE Team Only),completed,internal,public,30,2025-12-11,2025-12-11
56,The Connected Leader,completed,internal,public,35,2025-12-07,2025-12-11
54,Learning Path Reflection - Ahmed Sobhy,completed,internal,public,20,2025-11-27,2025-11-27
45,Less Noise More Done,completed,internal,public,30,2025-11-25,2025-11-27
50,Inside Out - OCEAN,completed,internal,public,30,2025-11-16,2025-11-18
44,Growth Mindset,completed,internal,public,35,2025-11-10,2025-11-10
49,TBC - The Gifts of Imperfection (Nov),completed,internal,public,27,2025-11-06,2025-12-04
48,MS Excel Workshop - Finance Department - 3:00,completed,external,public,23,2025-11-02,2025-11-09
47,MS Excel Workshop - Finance Department - 9:30,completed,external,public,25,2025-11-02,2025-11-09
42,The Human Link,completed,internal,public,50,2025-10-29,2025-10-29
40,Less Noise More Done,completed,internal,public,25,2025-10-20,2025-10-22
43,MS Excel Workshop - Round 3,completed,internal,public,22,2025-10-13,2025-10-16
41,Own The Room,completed,internal,public,30,2025-10-06,2025-10-07
35,The Connected Leader,completed,internal,public,30,2025-09-29,2025-10-02
34,Less Noise More Done,completed,internal,public,20,2025-09-22,2025-09-24
39,Intro to the L&D,completed,internal,public,20,2025-09-17,2025-09-17
33,Growth Mindset,completed,internal,public,25,2025-09-15,2025-09-15
32,inside out,completed,internal,department,30,2025-09-09,2025-09-11
29,2025 Egyptian Labor Law,completed,external,department,15,2025-09-07,2025-09-09
28,Round 2 - MS Excel Workshop,completed,external,public,25,2025-09-01,2025-09-08
27,Round 1 - MS Excel Workshop,completed,external,public,24,2025-08-19,2025-08-21
26,Growth Mindset,completed,internal,public,25,2025-08-13,2025-08-13
25,Think Like HR,completed,internal,public,25,2025-08-12,2025-08-12
2,Master The Shift,completed,internal,public,25,2025-07-29,2025-07-30
